Date;Scheduled flights;Tracked flights;Percentage
1.02.2025;716;702;98,00%
2.02.2025;736;715;97,10%
3.02.2025;690;671;97,20%
4.02.2025;669;651;97,30%
5.02.2025;678;626;92,30%
6.02.2025;687;617;89,80%
7.02.2025;748;707;94,50%
8.02.2025;720;678;94,20%
9.02.2025;744;691;92,90%
10.02.2025;714;663;92,90%
11.02.2025;696;590;84,80%
12.02.2025;714;625;87,50%
13.02.2025;740;672;90,80%
14.02.2025;758;699;92,20%
15.02.2025;730;686;94,00%
16.02.2025;751;702;93,50%
17.02.2025;719;668;92,90%
18.02.2025;692;640;92,50%
19.02.2025;713;585;82,00%
20.02.2025;738;576;78,00%
21.02.2025;772;442;57,30%
22.02.2025;735;478;65,00%
23.02.2025;749;643;85,80%
24.02.2025;716;668;93,30%
25.02.2025;711;661;93,00%
26.02.2025;718;663;92,30%
27.02.2025;744;681;91,50%
28.02.2025;765;700;91,50%
1.03.2025;730;677;92,70%
2.03.2025;738;678;91,87%
3.03.2025;695;682;98,13%
4.03.2025;713;699;98,04%
5.03.2025;721;705;97,78%
6.03.2025;682;663;97,21%
7.03.2025;696;682;97,99%
8.03.2025;673;645;95,80%
9.03.2025;686;653;95,20%
10.03.2025;679;623;91,80%
11.03.2025;672;622;92,60%
12.03.2025;663;629;94,90%
13.03.2025;696;655;94,10%
14.03.2025;755;693;91,80%
15.03.2025;713;670;94,00%
16.03.2025;752;698;92,80%
17.03.2025;707;664;93,90%
18.03.2025;687;622;90,50%
19.03.2025;709;654;92,20%
20.03.2025;734;673;91,70%
21.03.2025;763;693;90,80%
22.03.2025;719;677;94,20%
23.03.2025;744;687;92,30%
24.03.2025;709;662;93,40%
25.03.2025;702;653;93,00%
26.03.2025;732;684;93,40%
27.03.2025;778;720;92,50%
28.03.2025;835;782;93,70%
29.03.2025;791;748;94,60%
30.03.2025;819;765;93,40%
31.03.2025;788;732;92,90%
1.04.2025;815;754;92,50%
2.04.2025;803;749;93,30%
3.04.2025;819;754;92,10%
4.04.2025;831;776;93,40%
5.04.2025;821;778;94,80%
6.04.2025;851;797;93,70%
7.04.2025;776;729;93,90%
8.04.2025;782;728;93,10%
9.04.2025;783;722;92,20%
10.04.2025;807;744;92,20%
11.04.2025;819;764;93,30%
12.04.2025;776;741;95,50%
13.04.2025;803;754;93,90%
14.04.2025;774;731;94,40%
15.04.2025;770;720;93,50%
16.04.2025;793;742;93,60%
17.04.2025;807;743;92,10%
18.04.2025;825;772;93,60%
19.04.2025;782;744;95,10%
20.04.2025;817;762;93,30%
21.04.2025;785;736;93,80%
22.04.2025;789;731;92,60%
23.04.2025;799;741;92,70%
24.04.2025;812;752;92,60%
25.04.2025;794;772;97,23%
26.04.2025;766;748;97,65%
27.04.2025;795;771;96,98%
28.04.2025;766;733;95,69%
29.04.2025;767;729;95,05%
30.04.2025;778;749;96,27%
1.05.2025;809;763;94,31%
2.05.2025;804;757;94,15%
3.05.2025;779;742;95,25%
4.05.2025;809;768;94,93%
5.05.2025;778;745;95,76%
6.05.2025;765;729;95,29%
7.05.2025;789;743;94,17%
8.05.2025;796;742;93,22%
9.05.2025;810;764;94,32%
10.05.2025;780;744;95,38%
11.05.2025;812;774;95,32%
12.05.2025;789;749;94,93%
13.05.2025;775;728;93,94%
14.05.2025;786;733;93,26%
15.05.2025;789;737;93,41%
16.05.2025;824;776;94,17%
17.05.2025;789;746;94,55%
18.05.2025;817;777;95,10%
19.05.2025;795;750;94,34%
20.05.2025;783;740;94,51%
21.05.2025;781;739;94,62%
22.05.2025;802;754;94,01%
